"Vármegye kód";"Vármegye";"OEVK";"Település kód";"Település";"TEVK";"Szavazókör";"Szavazókör cím";"Számlálásra kijelölt";"Akadálymentesített";"PIR";"Közterület név";"Közterület jelleg";"Házszám";"Épület";"Lépcsőház";"Kapukód";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000057";"A";"";"7484473";
"01";"Budapest";"04";"002";"Budapest II";"06";"018";"Törökvész út 67. (Ált. Isk.)";"N";"N";"1025";"Törökvész";"út";"000057";"B";"";"843921";
"01";"Budapest";"16";"020";"Budapest XX";"08";"045";"Lázár u. 20. (Iskola)";"N";"N";"1202";"Csallóköz";"utca";"000003";"";"";"268789";
"01";"Budapest";"16";"020";"Budapest XX";"08";"045";"Lázár u. 20. (Iskola)";"N";"N";"1202";"Csallóköz";"utca";"000004";"";"";"1232624";
"01";"Budapest";"16";"020";"Budapest XX";"08";"045";"Lázár u. 20. (Iskola)";"N";"N";"1202";"Csallóköz";"utca";"000005";"";"";"1435187";
"01";"Budapest";"16";"020";"Budapest XX";"08";"045";"Lázár u. 20. (Iskola)";"N";"N";"1202";"Csallóköz";"utca";"000006";"";"";"31650";
"01";"Budapest";"16";"020";"Budapest XX";"08";"045";"Lázár u. 20. (Iskola)";"N";"N";"1202";"Csallóköz";"utca";"000007";"";"";"1435188";
"01";"Budapest";"16";"020";"Budapest XX";"08";"045";"Lázár u. 20. (Iskola)";"N";"N";"1202";"Csallóköz";"utca";"000008";"";"";"989178";
"03";"Bács-Kiskun";"02";"060";"Kecskemét";"14";"092";"Katona Zsigmond utca 1. (Mathiász János Ált. Isk.)";"N";"I";"6000";"Katonatelep";"tanya";"014862";"";"";"3491222";
"03";"Bács-Kiskun";"02";"060";"Kecskemét";"14";"092";"Katona Zsigmond utca 1. (Mathiász János Ált. Isk.)";"N";"I";"6000";"Katonatelep";"tanya";"014866";"";"";"3444606";
"03";"Bács-Kiskun";"02";"060";"Kecskemét";"14";"092";"Katona Zsigmond utca 1. (Mathiász János Ált. Isk.)";"N";"I";"6000";"Katonatelep";"tanya";"014881";"";"";"2829104";
"03";"Bács-Kiskun";"02";"060";"Kecskemét";"14";"092";"Katona Zsigmond utca 1. (Mathiász János Ált. Isk.)";"N";"I";"6000";"Katonatelep";"tanya";"014884";"";"";"2912900";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölgyvári";"utca";"000035";"";"";"1760244";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölgyvári";"utca";"000037";"";"";"1118236";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölgyvári";"utca";"000039";"";"";"2554545";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölgyvári";"utca";"000041";"";"";"1876043";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölgyvári";"utca";"000043";"";"";"3403909";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölvár";"";"000045/0029";"";"";"2882857";
"20";"Zala";"02";"258";"Tekenye";"";"001";"Hunyadi u. 11. (Kultúrház)";"N";"I";"8793";"Tölvár";"";"031287";"";"";"4400534";
